id	Foregut 2	Pharyngeal endoderm	Foregut 1	Midgut	Hindgut 2	Midgut/Hindgut	Hindgut 1	ExE endoderm
cell_108744	0.0015421482154469456	0.0015578170087020334	0.0014868837496984195	0.0014858752752154288	0.0014930984725177203	0.0015089689486723048	0.0013017587027127242	2.0553782332559483e-06
cell_108753	0.0015321188737055238	0.001547509745321163	0.0014778986488403931	0.0014767553125202488	0.0014834548836986643	0.0014993939505301367	0.001293519719054063	2.0951667481730344e-06
cell_108792	0.0013585840511007726	0.001372239573849221	0.0013101573517282875	0.0013095021850128795	0.0013160787936462017	0.0013297070798580864	0.0011503828104630896	1.9432918655993064e-06
cell_108809	0.0015988398528144832	0.0016130406906941746	0.0015468688018018609	0.0015465341400597236	0.0015526490417127746	0.001568189807435232	0.0013682948914985114	3.191187316672759e-06
cell_108830	0.0015309042369203434	0.0015455537279310306	0.0014786455525557319	0.0014778339636844753	0.0014840565037561916	0.0014995475836134086	0.0013007115906878623	2.261252840726724e-06
cell_108835	0.0015454506687116358	0.0015608571281505521	0.0014910205517531996	0.0014899679053743467	0.0014967633195826567	0.001512684431556761	0.0013065731071685246	2.1794816341087363e-06
cell_108860	0.00022050000517515056	0.0001984844402493293	0.00031458771046488415	0.0003050107306662531	0.000286236212595909	0.000266846448104241	0.000553623092005048	0.00026068986199463294
cell_108866	0.0015531832940872568	0.001567601974413121	0.0015009469671216503	0.0015006240055121943	0.0015074530023423544	0.0015224214281323455	0.0013265207077529902	3.2639660635747362e-06
cell_108870	0.0002329105216080768	0.0002100767040118538	0.00032354864320556536	0.0003182540815234639	0.0003023916446179147	0.0002814122605566362	0.0005753948954075808	0.000859337919941292
cell_108877	0.0014127476400944857	0.001427293029119793	0.0013615931927843804	0.0013606363340467513	0.001367476270693867	0.0013820281116744893	0.001191207977840268	1.8259264457367425e-06
cell_108900	9.684006623412146e-05	8.840252255850206e-05	0.00012046853764640567	0.000125735027651591	0.0001262510368316205	0.00011530652148031214	0.00024110370494213225	3.270930644726384e-05
cell_108914	0.00020085587721036007	0.00018017560835949158	0.0002943375183285246	0.0002816764318714327	0.0002612828635580047	0.000244344013626684	0.0005066536082025278	0.0006705858735958003
cell_108918	0.0015299336206502565	0.0015455048742999934	0.0014753085632070763	0.0014741020377426605	0.0014809442458347346	0.0014969049579725757	0.0012904028023387872	2.0442652706453617e-06
cell_108935	0.00017306660646354433	0.0001552485726597746	0.0002509748690225059	0.0002420630453069587	0.00022619426588286633	0.00021074018000254697	0.00044152226805304733	0.0004685056258679472
